Page Name,PageLabelId,Page Label Name,ValueRT,Value,Storefront
All,DR_SOURCE_ID_ERROR_TYPEGlobalAll,DR_SOURCE_ID_ERROR_TYPE,Failed to get SourceId from Digital River.(Error Type :,,Global
All,DR_SOURCE_ID_MISSINGGlobalAll,DR_SOURCE_ID_MISSING,Failed to get source Id from Digital River.,,Global
All,DR_Success_message_for_new_recordGlobalAll,DR_Success_message_for_new_record,Your new card has been added to the Wallet.,,Global
All,DR_Success_message_for_update_recordGlobalAll,DR_Success_message_for_update_record,Your credit card details have been updated.,,Global
All,endDateErrormessageGlobalAll,endDateErrormessage,End Date is Required,,Global
All,End_DateGlobalAll,End_Date,Expiry Date,,Global
All,End_Date_Past_ValidationGlobalAll,End_Date_Past_Validation,End Date Cannot be Past Date,,Global
All,Error_during_submitting_paymentsGlobalAll,Error_during_submitting_payments,Error while submitting payments.,,Global
All,Exemption_Certificate_Tax_AuthorityGlobalAll,Exemption_Certificate_Tax_Authority,Exemption Certificate Tax Authority : *,,Global
All,Exemption_Expiration_DateGlobalAll,Exemption_Expiration_Date,Exemption Expiration Date : *,,Global
All,Exemption_Start_DateGlobalAll,Exemption_Start_Date,Exemption Start Date : *,,Global
All,fileSizeErrormessageGlobalAll,fileSizeErrormessage,File cannot be more then 1 MB in size. Your file is too large. Please try again.,,Global
All,File_Limit_ExceedGlobalAll,File_Limit_Exceed,File cannot be more then 1.5 MB in size. Your file is too large. Please try again.,,Global
All,File_Name_LimitGlobalAll,File_Name_Limit,File Name Less then 80 Character.,,Global
All,File_Reading_ErrorGlobalAll,File_Reading_Error,There was an error reading the file. Please try again.,,Global
All,File_RequiredGlobalAll,File_Required,You must choose a file before trying to upload it,,Global
All,MANAGE_TAX_EXEMPTIONGlobalAll,MANAGE_TAX_EXEMPTION,MANAGE TAX EXEMPTION,,Global
All,MyWallet_AcctNum_ccGlobalAll,MyWallet_AcctNum_cc,{1},{1},Global
All,MyWallet_AcctNum_poGlobalAll,MyWallet_AcctNum_po,PO Number: {1},,Global
All,MyWallet_AcctNum_ppGlobalAll,MyWallet_AcctNum_pp,Paypal,Paypal,Global
All,MyWallet_AcctType_ccGlobalAll,MyWallet_AcctType_cc,Credit Card,Credit Card,Global
All,MyWallet_AcctType_poGlobalAll,MyWallet_AcctType_po,Purchase Order,,Global
All,MyWallet_AcctType_ppGlobalAll,MyWallet_AcctType_pp,PayPal,PayPal,Global
All,MyWallet_AddPymtMtdGlobalAll,MyWallet_AddPymtMtd,Select Payment Method,,Global
All,My_Tax_CertificatesGlobalAll,My_Tax_Certificates,My Tax Certificates,,Global
All,DR_Tax_Certificate_File_Name_HeaderGlobalAll,DR_Tax_Certificate_File_Name_Header,Name,,Global
All,No_Tax_Record_foundGlobalAll,No_Tax_Record_found,No Tax Certificate on file. Please use the below form to upload a new certificate,,Global
OrderView,OrderConfirmation_StatusInfoGlobalOrderView,OrderConfirmation_StatusInfo,You can view your order status at any time by checking your,,Global
All,Order_AcctNum_paypalGlobalAll,Order_AcctNum_paypal,paypal: {1},,Global
All,Order_AcctType_paypalGlobalAll,Order_AcctType_paypal,paypal,,Global
All,PaymentDisplay_ccGlobalAll,PaymentDisplay_cc,Credit Card: ending with {1},Credit Card: ending with {1},Global
CheckOutNew,PaymentDisplay_ppGlobalCheckOutNew,PaymentDisplay_pp,PayPal : {6},PayPal,Global
OrderView,PaymentDisplay_ppGlobalOrderView,PaymentDisplay_pp,PayPal,PayPal,Global
MyAccount,PaymentDisplay_ppGlobalMyAccount,PaymentDisplay_pp,PayPal,PayPal,Global
OrderConfirmation,PaymentDisplay_ppGlobalOrderConfirmation,PaymentDisplay_pp,PayPal,PayPal,Global
All,PaymentProcessorTab_ccGlobalAll,PaymentProcessorTab_cc,Credit Card,Credit Card,Global
All,PaymentProcessorTab_poGlobalAll,PaymentProcessorTab_po,Purchase Order,Purchase Order,Global
All,PaymentProcessorTab_ppGlobalAll,PaymentProcessorTab_pp,PayPal,PayPal,Global
All,PaymentType_poGlobalAll,PaymentType_po,Purchase Order,Purchase Order,Global
All,PaymentType_ppGlobalAll,PaymentType_pp,Paypal,Paypal,Global
All,Salesforce_IDGlobalAll,Salesforce_ID,Salesforce_ID,,Global
All,selectFileErrormessageGlobalAll,selectFileErrormessage,Please select a file to upload.,,Global
All,startDateErrormessageGlobalAll,startDateErrormessage,Start Date is Required,,Global
All,Start_DateGlobalAll,Start_Date,Start Date,,Global
